127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/slick/slick.css, HTTP/1.1, 200, 0.000500
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/mdi-font/css/material-design-iconic-font.min.css, HTTP/1.1, 200, 0.001500
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/animsition/animsition.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/wow/animate.css, HTTP/1.1, 200, 0.000705
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/font-awesome-4.7/css/font-awesome.min.css, HTTP/1.1, 200, 0.000999
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/slick/slick.min.js, HTTP/1.1, 200, 0.000500
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/select2/select2.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/animsition/animsition.min.js, HTTP/1.1, 200, 0.000500
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/css/theme.css, HTTP/1.1, 200, 0.002238
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/jquery-3.2.1.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/counter-up/jquery.waypoints.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/perfect-scrollbar/perfect-scrollbar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/bootstrap-progressbar/bootstrap-progressbar.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/circle-progress/circle-progress.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/chartjs/Chart.bundle.min.js, HTTP/1.1, 200, 0.000500
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/bootstrap-4.1/popper.min.js, HTTP/1.1, 200, 0.004681
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/bootstrap-4.1/bootstrap.min.js, HTTP/1.1, 200, 0.001010
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/images/portada2.jpg, HTTP/1.1, 200, 0.001500
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/wow/wow.min.js, HTTP/1.1, 200, 0.000783
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001277
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/perfect-scrollbar/perfect-scrollbar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/counter-up/jquery.counterup.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/fonts/poppins/poppins-v5-latin-700.woff2, HTTP/1.1, 200, 0.000500
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/fonts/poppins/poppins-v5-latin-regular.woff2, HTTP/1.1, 200, 0.010426
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/js/main.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/select2/select2.min.js, HTTP/1.1, 200, 0.002500
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/font-awesome-5/webfonts/fa-solid-900.woff2, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/font-awesome-5/webfonts/fa-regular-400.woff2, HTTP/1.1, 200, 0.001002
127.0.0.1, 2022-02-16 09:06:26, GET, /images/bg-title-01.jpg, HTTP/1.1, 404, 0.030242
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/fonts/poppins/poppins-v5-latin-600.woff2, HTTP/1.1, 200, 0.001083
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/fonts/poppins/poppins-v5-latin-500.woff2, HTTP/1.1, 200, 0.000483
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/mdi-font/fonts/Material-Design-Iconic-Font.woff2, HTTP/1.1, 200, 0.000565
127.0.0.1, 2022-02-16 09:06:41, GET, /base_datos/importar, HTTP/1.1, 200, 0.042838
127.0.0.1, 2022-02-16 09:06:56, GET, /asignatura/administrar, HTTP/1.1, 200, 0.031393
127.0.0.1, 2022-02-16 09:06:56, GET, /TuNota/static/notas1/vendor/font-awesome-4.7/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-02-16 09:07:05, GET, /TuNota/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-02-16 09:07:05, GET, /asignatura/administrar, HTTP/1.1, 303, 0.032934
127.0.0.1, 2022-02-16 09:07:05, GET, /TuNota/static/notas1/vendor/bootstrap-4.1/bootstrap.min.css.map, HTTP/1.1, 404, 0.000000
